Ranking,Project Name,Stars,Forks,Language,Open Issues,Description,Last Commit
59,moby,60589,17512,Go,4136,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,2021-07-07T22:42:21Z
60,awesome-selfhosted,60211,4621,JavaScript,100,A list of Free Software network services and web applications which can be hosted on your own servers,2021-07-07T18:16:02Z
61,angular.js,59609,28481,JavaScript,465,AngularJS - HTML enhanced for web apps!,2021-06-12T13:27:35Z
62,realworld,59088,5319,Shell,44,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more 🏅",2021-07-01T11:15:31Z
63,webpack,58634,7842,JavaScript,303,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",2021-07-08T02:03:14Z
64,django,58389,24956,Python,166,The Web framework for perfectionists with deadlines.,2021-07-07T23:40:11Z
65,PowerToys,56993,3112,C#,1780,Windows system utilities to maximize productivity,2021-07-07T21:10:16Z
66,FiraCode,56987,2562,Clojure,273,Free monospaced font with programming ligatures,2021-06-29T12:56:11Z
67,reveal.js,56700,15654,JavaScript,657,The HTML Presentation Framework,2021-07-06T20:05:21Z
68,rust,56638,8031,Rust,7481,Empowering everyone to build reliable and efficient software.,2021-07-08T02:35:44Z
69,swift,56507,9078,C++,385,The Swift Programming Language,2021-07-08T02:59:24Z
70,redux,56254,14746,TypeScript,48,Predictable state container for JavaScript apps,2021-07-07T22:36:54Z
71,spring-boot,56130,34008,Java,509,Spring Boot,2021-07-07T16:58:08Z
72,flask,55963,14419,Python,35,The Python micro framework for building web applications.,2021-07-07T17:59:05Z
73,atom,55709,16240,JavaScript,767, The hackable text editor,2021-07-07T18:39:09Z
74,elasticsearch,55637,20178,Java,3338,"Free and Open, Distributed, RESTful Search Engine",2021-07-08T02:53:54Z
75,bitcoin,55490,29346,C++,982,Bitcoin Core integration/staging tree,2021-07-08T02:02:59Z
76,tech-interview-handbook,55302,7793,JavaScript,6,💯 Materials to help you rock your next coding interview,2021-06-28T19:50:19Z
77,netdata,55135,4953,C,689,"Real-time performance monitoring, done right! https://www.netdata.cloud",2021-07-08T02:08:40Z
78,advanced-java,55129,15235,Java,4,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,2021-06-23T11:17:42Z
79,jquery,55061,20020,JavaScript,74,jQuery JavaScript Library,2021-05-24T16:33:22Z
80,json-server,55029,5281,JavaScript,579,Get a full fake REST API with zero coding in less than 30 seconds (seriously),2021-06-28T19:19:07Z
81,Front-End-Checklist,54840,5250,None,4,🗂 The perfect Front-End Checklist for modern websites and meticulous developers,2021-06-16T22:37:20Z
82,Chart.js,54156,11021,JavaScript,91,Simple HTML5 Charts using the tag,2021-07-07T23:26:05Z
83,express,53643,9043,JavaScript,178,"Fast, unopinionated, minimalist web framework for node.",2021-07-07T04:15:31Z
84,architect-awesome,53442,16530,None,58,后端架构师技术图谱,2021-07-07T19:27:28Z
85,clean-code-javascript,53273,6671,JavaScript,39,🛁 Clean Code concepts adapted for JavaScript,2021-06-29T23:39:17Z
86,interviews,52883,11214,Java,93,Everything you need to know to get the job.,2021-06-29T17:57:40Z
87,hugo,52790,6008,Go,634,The world’s fastest framework for building websites.,2021-07-07T15:25:14Z
